Year,Yearly_Ranking,Title,Studio,Total_Gross,Number_of_Theaters,Opening_Gross,Number_of_Opening_Theaters,Open_Date,End_Date,Running time,Genre,Rating
2015,43,Paul Blart: Mall Cop 2,Sony,"$71,038,190 ","3,633","$23,762,435 ","3,633",4月17日,8月2日,1 hrs. 34 min.,Comedy,PG
2015,44,The Big Short,Par.,"$70,259,870 ","2,529","$705,527 ",8,12月11日,4月7日,2 hrs. 10 min.,Drama,R
2015,45,War Room,TriS,"$67,790,117 ","1,945","$11,351,389 ","1,135",8月28日,12月13日,2 hrs. 0 min.,Drama,PG
2015,46,Magic Mike XXL,WB,"$66,013,057 ","3,376","$12,857,184 ","3,355",7月1日,9月24日,1 hrs. 55 min.,Comedy / Drama,R
2015,47,The Visit,Uni.,"$65,206,105 ","3,148","$25,427,560 ","3,069",9月11日,11月26日,1 hrs. 34 min.,Horror,PG-13
2015,48,The Wedding Ringer,SGem,"$64,460,211 ","3,003","$20,649,306 ","3,003",1月16日,4月5日,1 hrs. 41 min.,Comedy,R
2015,49,Black Mass,WB,"$62,575,678 ","3,188","$22,635,037 ","3,188",9月18日,12月3日,2 hrs. 2 min.,Crime Drama,R
2015,50,Vacation,WB (NL),"$58,884,188 ","3,430","$14,681,108 ","3,411",7月29日,10月29日,1 hrs. 39 min.,Comedy,R
2015,51,The Perfect Guy,SGem,"$57,027,435 ","2,230","$25,888,154 ","2,221",9月11日,12月3日,1 hrs. 40 min.,Thriller,PG-13
2015,52,Joy,Fox,"$56,451,232 ","2,924","$17,015,168 ","2,896",12月25日,3月17日,2 hrs. 4 min.,Comedy / Drama,PG-13
2015,53,Fantastic Four,Fox,"$56,117,548 ","4,004","$25,685,737 ","3,995",8月7日,10月22日,1 hrs. 40 min.,Action / Adventure,PG-13
2015,54,The Hateful Eight,Wein.,"$54,117,416 ","2,938","$4,610,676 ",100,12月25日,4月28日,2 hrs. 47 min.,Western,R
2015,55,Focus (2015),WB,"$53,862,963 ","3,323","$18,685,137 ","3,323",2月27日,5月7日,1 hrs. 44 min.,Comedy,R
